x,y,z,red,green,blue
134937.892,521765.891,-37.429,,,
134937.965,521765.779,-37.433,,,
134937.819,521765.811,-37.448,,,
134937.513,521766.306,-37.442,,,
134938.566,521765.417,-37.448,,,
134938.013,521765.766,-37.44,,,
134938.097,521765.293,-37.449,,,
134937.902,521765.861,-37.431,,,
134937.836,521765.982,-37.454,,,
134937.609,521766.357,-37.433,,,
134938.842,521764.566,-37.525999999999996,,,
134939.494,521763.943,-37.501,,,
134939.834,521764.151,-37.485,,,
134940.335,521764.093,-37.403999999999996,,,
134938.51,521764.278,-37.502,,,
134939.438,521764.723,-37.461,,,
134939.359,521764.843,-37.485,,,
134939.476,521764.922,-37.463,,,
134940.459,521764.166,-37.464,,,
134939.339,521763.978,-37.472,,,
134939.032,521764.472,-37.466,,,
134939.464,521764.053,-37.468,,,
134939.708,521764.21,-37.461,,,
134939.402,521764.705,-37.464,,,
134939.33,521764.819,-37.488,,,
134939.447,521764.899,-37.466,,,
134940.433,521764.162,-37.457,,,
134938.619,521765.412,-37.464,,,
134939.846,521764.121,-37.504,,,
134939.618,521763.596,-37.481,,,
134939.311,521764.09,-37.475,,,
134939.079,521764.459,-37.464,,,
134939.98,521763.834,-37.47,,,
134939.449,521764.692,-37.462,,,
134939.374,521764.818,-37.467,,,
134939.355,521763.955,-37.482,,,
134939.282,521764.067,-37.478,,,
134939.05,521764.436,-37.467,,,
134940.038,521763.686,-37.468,,,
134939.95,521763.81,-37.465,,,
134939.42,521764.669,-37.466,,,
134939.345,521764.795,-37.48,,,
134938.637,521765.39,-37.482,,,
134940.313,521764.064,-37.398,,,
134939.066,521764.502,-37.453,,,
134939.185,521764.57,-37.441,,,
134939.112,521764.683,-37.456,,,
134939.862,521764.307,-37.436,,,
134939.555,521764.802,-37.439,,,
134939.01,521765.134,-37.422,,,
134938.921,521765.27,-37.428,,,
134939.833,521764.284,-37.439,,,
134939.526,521764.779,-37.443,,,
134940.429,521764.141,-37.449,,,
134938.974,521765.116,-37.426,,,
134940.377,521764.028,-37.406,,,
134939.1,521765.191,-37.422,,,
134938.969,521765.198,-37.411,,,
134939.209,521764.541,-37.451,,,
134939.128,521764.659,-37.438,,,
134940.074,521763.703,-37.455,,,
134940.186,521763.776,-37.434,,,
134939.498,521764.892,-37.446,,,
134940.481,521764.135,-37.447,,,
134939.022,521765.103,-37.433,,,
134940.329,521764.04,-37.399,,,
134939.18,521764.517,-37.445,,,
134939.099,521764.636,-37.451,,,
134939.537,521764.748,-37.444,,,
134939.469,521764.869,-37.449,,,
134940.45,521764.124,-37.44,,,
134938.986,521765.086,-37.436,,,
134939.118,521765.156,-37.433,,,
134938.922,521765.211,-37.413,,,
134939.849,521764.261,-37.449,,,
134939.302,521763.96,-37.475,,,
134939.979,521763.697,-37.47,,,
134939.68,521764.187,-37.473,,,
134939.955,521763.681,-37.473,,,
134939.656,521764.171,-37.476,,,
134940.483,521764.182,-37.471000000000004,,,
134940.348,521764.004,-37.409,,,
134938.94,521765.175,-37.415,,,
134939.683,521763.638,-37.483,,,
134939.063,521764.619,-37.463,,,
134939.695,521764.163,-37.465,,,
134939.64,521764.809,-37.461,,,
134940.317,521763.994,-37.412,,,
134939.063,521765.173,-37.417,,,
134939.654,521763.614,-37.478,,,
134939.04,521764.603,-37.475,,,
134939.667,521764.14,-37.477,,,
134939.485,521764.71,-37.459,,,
134939.404,521764.828,-37.465,,,
134940.322,521764.105,-37.422,,,
134938.744,521765.142,-37.42,,,
134939.125,521764.536,-37.447,,,
134939.616,521764.838,-37.451,,,
134940.403,521764.136,-37.433,,,
134938.979,521765.168,-37.413,,,
134938.626,521765.062,-37.441,,,
134938.989,521765.299,-37.431,,,
134938.737,521765.148,-37.429,,,
134939.096,521764.512,-37.45,,,
134939.466,521764.745,-37.448,,,
134939.586,521764.814,-37.446,,,
134940.365,521764.117,-37.419,,,
134938.952,521765.281,-37.425,,,
134939.143,521764.499,-37.448,,,
134939.193,521764.7,-37.441,,,
134939.747,521764.35,-37.449,,,
134939.514,521764.733,-37.456,,,
134939.44,521764.845,-37.452,,,
134940.42,521764.1,-37.426,,,
134939.087,521765.144,-37.426,,,
134939.039,521765.157,-37.419,,,
134940.364,521763.981,-37.41,,,
134940.297,521764.102,-37.424,,,
134939.233,521764.558,-37.457,,,
134939.157,521764.682,-37.435,,,
134940.097,521763.719,-37.444,,,
134940.215,521763.8,-37.44,,,
134939.603,521764.791,-37.455,,,
134938.611,521765.027,-37.436,,,
134938.806,521764.969,-37.428,,,
134939.051,521765.127,-37.43,,,
134938.998,521765.222,-37.408,,,
134939.333,521764.061,-37.467,,,
134939.233,521764.513,-37.46,,,
134939.899,521764.237,-37.466,,,
134939.297,521764.043,-37.47,,,
134939.499,521763.994,-37.479,,,
134940.062,521763.658,-37.477,,,
134939.75,521764.145,-37.472,,,
134940.099,521763.856,-37.461,,,
134939.037,521764.524,-37.462,,,
134939.252,521764.477,-37.471000000000004,,,
134940.102,521763.65,-37.475,,,
134939.79,521764.138,-37.479,,,
134939.709,521764.256,-37.467,,,
134939.414,521764.752,-37.46,,,
134939.915,521764.227,-37.484,,,
134939.009,521764.502,-37.475,,,
134939.21,521764.452,-37.475,,,
134939.767,521764.122,-37.482,,,
134939.685,521764.239,-37.47,,,
134939.385,521764.728,-37.464,,,
134938.36,521765.069,-37.539,,,
134938.401,521765.153,-37.54,,,
134938.61,521765.429,-37.454,,,
134939.005,521765.262,-37.414,,,
134939.89,521764.254,-37.456,,,
134939.516,521764.855,-37.438,,,
134940.306,521764.143,-37.448,,,
134939.052,521765.204,-37.415,,,
134938.801,521764.917,-37.432,,,
134939.038,521765.08,-37.442,,,
134940.004,521763.791,-37.454,,,
134939.191,521764.487,-37.455,,,
134939.115,521764.612,-37.442,,,
134939.973,521763.78,-37.456,,,
134940.171,521763.742,-37.438,,,
134940.467,521764.087,-37.424,,,
134940.1,521763.843,-37.453,,,
134940.152,521763.836,-37.441,,,
134939.532,521764.832,-37.439,,,
134940.335,521763.957,-37.413,,,
134939.677,521763.644,-37.492,,,
134940.025,521763.774,-37.444,,,
134939.991,521763.744,-37.457,,,
134939.503,521764.808,-37.442,,,
134938.788,521764.87,-37.436,,,
