x,y,z
134938.94,521766.7,-37.403
134938.72,521767.06,-37.41
134939.14,521766.62,-37.413
134938.64,521767.16,-37.415
134938.84,521767.1,-37.408
134938.75,521767.25,-37.404
134938.47,521767.7,-37.417
134939.0,521767.4,-37.414
134939.12,521767.47,-37.402
134940.05,521767.38,-37.39
134938.31,521767.06,-37.47
134938.75,521765.75,-37.441
134938.45,521766.78,-37.462
134939.19,521767.25,-37.469
134937.66,521767.94,-37.405
134938.66,521767.1,-37.412
134938.31,521766.0,-37.416
134938.89,521768.0,-37.398
134939.0,521766.6,-37.397
134938.62,521766.3,-37.412
134937.22,521766.88,-37.402
134938.22,521766.06,-37.407
134938.3,521766.2,-37.411
134937.62,521767.0,-37.415
134937.55,521767.12,-37.412
134937.72,521767.06,-37.405
134938.55,521766.34,-37.395
134938.75,521766.38,-37.399
134938.7,521766.44,-37.388
134939.08,521766.6,-37.401
134938.77,521767.03,-37.408
134938.72,521767.2,-37.392
134939.05,521767.4,-37.403
134939.02,521767.53,-37.414
134938.75,521767.97,-37.401
134937.4,521766.88,-37.419
134938.11,521766.28,-37.462
134937.86,521766.62,-37.454
134938.03,521766.7,-37.439
134937.78,521767.1,-37.427
134938.23,521766.9,-37.449
134938.38,521766.97,-37.428
134938.16,521767.34,-37.452
134939.0,521766.5,-37.421
134938.97,521766.84,-37.455
134938.53,521767.6,-37.448
134937.94,521768.22,-37.45
134938.16,521768.16,-37.442
134939.19,521767.3,-37.446
134939.67,521767.1,-37.45
134939.83,521767.2,-37.443
134938.39,521766.12,-37.429
134938.61,521767.12,-37.429
134938.64,521766.28,-37.431
134937.66,521766.47,-37.44
134938.17,521766.12,-37.424
134938.2,521766.34,-37.462
134937.95,521766.75,-37.44
134938.83,521765.88,-37.428
134938.39,521766.8,-37.446
134938.3,521766.97,-37.451
134938.47,521767.03,-37.435
134938.98,521766.47,-37.433
134938.89,521766.6,-37.43
134938.48,521767.56,-37.453
134938.11,521768.16,-37.426
134939.17,521767.25,-37.459
134939.22,521767.47,-37.424
134937.28,521766.88,-37.409
134937.34,521766.97,-37.399
134938.22,521766.12,-37.412
134938.55,521766.4,-37.391
134938.11,521767.4,-37.414
134938.03,521767.53,-37.411
134939.06,521766.62,-37.4
134939.0,521766.72,-37.407
134938.48,521767.62,-37.413
134939.08,521767.5,-37.395
134938.92,521768.06,-37.419
134938.14,521766.3,-37.441
134939.14,521766.56,-37.427
134937.9,521768.12,-37.449
134938.4,521767.75,-37.418
134938.98,521767.34,-37.418
134938.4,521768.3,-37.435
134938.33,521768.44,-37.421
134937.48,521767.1,-37.408
134938.31,521766.25,-37.416
134937.7,521766.34,-37.447
134938.22,521766.3,-37.444
134937.84,521766.6,-37.457
134937.64,521767.0,-37.424
134937.48,521767.22,-37.426
134938.25,521766.84,-37.453
134938.45,521766.97,-37.431
134937.77,521767.06,-37.412
134938.97,521766.78,-37.423
134938.36,521767.75,-37.43
134938.12,521768.12,-37.437
134938.02,521768.22,-37.436
134938.47,521767.84,-37.434
134938.4,521768.47,-37.45
134938.95,521768.16,-37.448
134939.17,521768.1,-37.439
134938.95,521766.6,-37.4
134938.81,521767.03,-37.406
134938.72,521768.0,-37.392
134939.11,521767.56,-37.406
134939.23,521767.47,-37.433
134938.03,521766.6,-37.456
134938.1,521766.66,-37.456
134938.16,521766.84,-37.467
134937.84,521768.2,-37.469
134938.19,521766.03,-37.42
134938.31,521766.12,-37.408
134937.48,521767.2,-37.413
134937.7,521767.16,-37.41
134938.64,521766.5,-37.389
134937.58,521767.9,-37.403
134938.31,521768.38,-37.418
134938.23,521768.5,-37.423
134938.03,521766.5,-37.48
134938.56,521766.3,-37.405
134938.27,521766.0,-37.409
134937.28,521767.0,-37.408
134937.34,521766.84,-37.407
134938.25,521766.22,-37.413
134938.67,521766.3,-37.409
134939.06,521766.53,-37.405
134938.98,521766.66,-37.401
134939.06,521767.56,-37.408
134938.77,521768.06,-37.411
134937.67,521767.12,-37.413
134938.84,521765.8,-37.405
134938.45,521767.78,-37.421
134939.0,521767.47,-37.409
134939.1,521767.3,-37.415
134937.95,521767.97,-37.466
134939.77,521767.28,-37.486
134938.5,521766.8,-37.466
134938.95,521768.1,-37.415
134937.27,521766.84,-37.413
134937.2,521766.94,-37.409
134937.48,521767.78,-37.416
134938.38,521766.16,-37.419
134937.25,521767.0,-37.403
134938.12,521766.12,-37.436
134937.6,521767.0,-37.419
134937.94,521766.66,-37.439
134937.56,521767.2,-37.416
134938.66,521766.5,-37.405
134937.92,521768.06,-37.454
134939.11,521766.75,-37.444
134938.38,521767.66,-37.417
134938.39,521767.8,-37.431
134938.31,521768.28,-37.431
134939.05,521766.7,-37.414
134938.44,521768.38,-37.447
134938.8,521767.1,-37.401
134938.72,521767.22,-37.397
134938.42,521767.72,-37.419
134939.12,521766.6,-37.408
134938.75,521767.2,-37.398
134937.55,521766.44,-37.431
